交易日期,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,隐含波动率(%)
2025-12-26,pb2602,14196,7961,945,966.2605,0,0.211014,21.1014
2025-12-26,pb2603,399,1060,140,63.2905,0,0.171568,17.1568
2025-12-26,小计,14595,9021,1085,1029.551,0,,
2025-12-29,pb2602,19476,8472,511,1787.1845,0,0.247343,24.7343
2025-12-29,pb2603,198,1115,55,21.455,0,0.232247,23.2247
2025-12-29,小计,19674,9587,566,1808.6395,0,,
2025-12-30,pb2602,12370,8751,279,879.751,0,0.21046,21.046
2025-12-30,pb2603,385,1148,33,56.873,0,0.187638,18.7638
2025-12-30,小计,12755,9899,312,936.624,0,,
2025-12-31,pb2602,12554,9645,894,710.416,0,0.202271,20.2271
2025-12-31,pb2603,1668,1848,700,167.016,0,0.166602,16.6602
2025-12-31,小计,14222,11493,1594,877.432,0,,
2026-01-05,pb2602,7498,10024,379,521.969,0,0.234592,23.4592
2026-01-05,pb2603,241,1903,55,25.97,0,0.203852,20.3852
2026-01-05,小计,7739,11927,434,547.939,0,,
2026-01-06,pb2602,19019,11898,1874,1623.4675,0,0.234279,23.4279
2026-01-06,pb2603,3000,2633,730,391.5015,0,0.211855,21.1855
2026-01-06,小计,22019,14531,2604,2014.969,0,,
2026-01-07,pb2602,37904,14633,2735,3915.4785,0,0.270999,27.0999
2026-01-07,pb2603,5185,4428,1795,778.608,0,0.234887,23.4887
2026-01-07,小计,43089,19061,4530,4694.0865,0,,
2026-01-08,pb2602,25957,14901,268,2203.575,0,0.267724,26.7724
2026-01-08,pb2603,4038,4363,-65,517.956,0,0.239608,23.9608
2026-01-08,pb2604,17,16,16,3.269,0,0.250262,25.0262
2026-01-08,小计,30012,19280,219,2724.8,0,,
2026-01-09,pb2602,15200,14929,28,963.101,0,0.25487,25.487
2026-01-09,pb2603,1477,4597,234,140.7525,0,0.222494,22.2494
2026-01-09,pb2604,1,17,1,0.022,0,0.135456,13.5456
2026-01-09,小计,16678,19543,263,1103.8755,0,,
2026-01-12,pb2602,17258,16117,1188,1058.2375,1,0.26192,26.192
2026-01-12,pb2603,2301,4995,398,228.659,0,0.239033,23.9033
2026-01-12,pb2604,10,27,10,0.757,0,0.166581,16.6581
2026-01-12,小计,19569,21139,1596,1287.6535,1,,
2026-01-13,pb2602,18140,17781,1664,918.267,0,0.260367,26.0367
2026-01-13,pb2603,2100,5560,565,201.374,0,0.246948,24.6948
2026-01-13,pb2604,1,28,1,0.033,0,0.16083,16.083
2026-01-13,小计,20241,23369,2230,1119.674,0,,
2026-01-14,pb2602,15308,17102,-679,803.5025,0,0.26513,26.513
2026-01-14,pb2603,2702,6039,479,261.044,0,0.240802,24.0802
2026-01-14,pb2604,2,30,2,0.458,0,0.198565,19.8565
2026-01-14,小计,18012,23171,-198,1065.0045,0,,
2026-01-15,pb2602,46503,19769,2667,3124.2685,12,0.31513,31.513
2026-01-15,pb2603,10104,8434,2395,1570.5265,0,0.323524,32.3524
2026-01-15,pb2604,130,81,51,25.422,0,0.215339,21.5339
2026-01-15,小计,56737,28284,5113,4720.217,12,,
2026-01-16,pb2602,85191,21891,2122,7355.5995,1,0.38826,38.826
2026-01-16,pb2603,15789,10065,1631,3210.149,0,0.381981,38.1981
2026-01-16,pb2604,109,119,38,22.7055,0,0.29428,29.428
2026-01-16,小计,101089,32075,3791,10588.454,1,,
2026-01-19,pb2602,32619,21211,-680,1184.11,10,0.327106,32.7106
2026-01-19,pb2603,8519,10552,487,791.904,0,0.30727,30.727
