½»Ò×ÈÕÆÚ,ºÏÔ¼ÏµÁĞ,³É½»Á¿,³Ö²ÖÁ¿,³Ö²ÖÁ¿±ä»¯,³É½»¶î,ĞĞÈ¨Á¿,Òşº¬²¨¶¯ÂÊ,Òşº¬²¨¶¯ÂÊ(%)
2025/4/11,ru2506,92,1111,13,12.237,0,0.288169,28.8169
2025/4/11,ru2509,11239,35584,1395,3735.794,5,0.243018,24.3018
2025/4/11,Ğ¡¼Æ,49485,85766,285,10326.174,172,,
2025/4/14,ru2505,34325,50334,1263,4790.424,87,0.371771,37.1771
2025/4/14,ru2506,321,1172,61,90.706,0,0.248129,24.8129
2025/4/14,ru2509,9132,36953,1369,3515.358,0,0.234305,23.4305
2025/4/14,ru2601,52,52,52,34.143,0,0.211562,21.1562
2025/4/14,Ğ¡¼Æ,43830,88511,2745,8430.631,87,,
2025/4/15,ru2505,33243,51016,682,3193.012,620,0.323243,32.3243
2025/4/15,ru2506,196,1235,63,19.168,0,0.240285,24.0285
2025/4/15,ru2509,8907,38816,1863,2712.764,0,0.231926,23.1926
2025/4/15,ru2601,42,94,42,29.683,0,0.214176,21.4176
2025/4/15,Ğ¡¼Æ,42388,91161,2650,5954.627,620,,
2025/4/16,ru2505,35978,49752,-1264,3889.375,39,0.317577,31.7577
2025/4/16,ru2506,198,1302,67,17.83,0,0.236636,23.6636
2025/4/16,ru2509,9009,40354,1538,2718.919,0,0.227872,22.7872
2025/4/16,ru2601,38,108,14,16.386,0,0.207314,20.7314
2025/4/16,Ğ¡¼Æ,45223,91516,355,6642.51,39,,
2025/4/17,ru2505,37749,49349,-403,3273.745,71,0.285244,28.5244
2025/4/17,ru2506,315,1367,65,44.09,0,0.225379,22.5379
2025/4/17,ru2509,8605,41482,1128,2507.064,0,0.234403,23.4403
2025/4/17,ru2601,24,127,19,12.839,0,0.199244,19.9244
2025/4/17,Ğ¡¼Æ,46693,92325,809,5837.738,71,,
2025/4/18,ru2505,37932,50177,828,2752.371,23,0.284958,28.4958
2025/4/18,ru2506,157,1379,12,33.808,1,0.237152,23.7152
2025/4/18,ru2509,5557,42614,1132,1967.397,0,0.225729,22.5729
2025/4/18,ru2601,30,151,24,14.055,0,0.200455,20.0455
2025/4/18,Ğ¡¼Æ,43676,94321,1996,4767.631,24,,
2025/4/21,ru2505,53456,49391,-786,3462.939,44,0.328212,32.8212
2025/4/21,ru2506,715,1841,462,59.439,0,0.310206,31.0206
2025/4/21,ru2509,8178,41906,-708,3639.515,0,0.226814,22.6814
2025/4/21,ru2601,26,177,26,13.596,0,0.194629,19.4629
2025/4/21,Ğ¡¼Æ,62375,93315,-1006,7175.489,44,,
2025/4/22,ru2505,45547,47703,-1688,3355.658,392,0.322153,32.2153
2025/4/22,ru2506,420,1684,-157,45.252,0,0.273296,27.3296
2025/4/22,ru2509,7409,42047,141,2673.398,1,0.234754,23.4754
2025/4/22,ru2601,84,251,74,38.699,0,0.212951,21.2951
2025/4/22,Ğ¡¼Æ,53460,91685,-1630,6113.007,393,,
2025/4/23,ru2505,62355,45838,-1865,3964.744,387,0.308587,30.8587
2025/4/23,ru2506,387,1748,64,70.049,0,0.248557,24.8557
2025/4/23,ru2509,9328,42463,416,3248.107,13,0.241272,24.1272
2025/4/23,ru2601,133,357,106,98.114,0,0.219761,21.9761
2025/4/23,Ğ¡¼Æ,72203,90406,-1279,7381.014,400,,
2025/4/24,ru2505,42649,0,-45838,2262.534,6075,0.236024,23.6024
2025/4/24,ru2506,317,1880,132,49.632,0,0.257545,25.7545
2025/4/24,ru2509,8582,43188,725,3427.081,0,0.237332,23.7332
2025/4/24,ru2601,342,567,210,235.999,0,0.222206,22.2206
2025/4/24,Ğ¡¼Æ,51890,45635,-44771,5975.246,6075,,
2025/4/25,ru2506,1297,2459,579,148.824,0,0.239569,23.9569
2025/4/25,ru2507,43,37,37,5,0,0.238809,23.8809
2025/4/25,ru2509,15365,44869,1681,5462.287,0,0.236428,23.6428
2025/4/25,ru2601,184,635,68,80.142,0,0.213639,21.3639
2025/4/25,Ğ¡¼Æ,16889,48000,2365,5696.253,0,,
2025/4/28,ru2506,857,2558,99,93.247,0,0.243989,24.3989
2025/4/28,ru2507,19,47,10,2.044,0,0.241826,24.1826
2025/4/28,ru2509,10740,45064,195,4013.361,3,0.237269,23.7269
2025/4/28,ru2601,166,658,23,73.45,0,0.210653,21.0653
2025/4/28,Ğ¡¼Æ,11782,48327,327,4182.102,3,,
2025/4/29,ru2506,967,2693,135,97.092,0,0.260642,26.0642
2025/4/29,ru2507,126,120,73,14.208,0,0.245012,24.5012
2025/4/29,ru2509,9818,45248,184,3869.704,0,0.238998,23.8998
2025/4/29,ru2601,145,701,43,51.517,0,0.209761,20.9761
2025/4/29,Ğ¡¼Æ,11056,48762,435,4032.521,0,,
2025/4/30,ru2506,872,3025,332,78.192,0,0.286484,28.6484
